"DATE","TIME PERIOD","Japanese Yen 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period (FM.M.GB.JPY.RT.MM.JPY3MFSR_.HSTA)"
"2021-01-31","2021Jan","-0.0783"
"2021-02-28","2021Feb","-0.0858"
"2021-03-31","2021Mar","-0.0801"
"2021-04-30","2021Apr","-0.0715"
"2021-05-31","2021May","-0.0864"
"2021-06-30","2021Jun","-0.0895"
"2021-07-31","2021Jul","-0.0824"
"2021-08-31","2021Aug","-0.0992"
"2021-09-30","2021Sep","-0.0836"
"2021-10-31","2021Oct","-0.0824"
"2021-11-30","2021Nov","-0.0886"
"2021-12-31","2021Dec","-0.0763"
"2022-01-31","2022Jan","-0.0262"
"2022-02-28","2022Feb","-0.0192"
"2022-03-31","2022Mar","-0.0079"
"2022-04-30","2022Apr","-0.0108"
"2022-05-31","2022May","-0.0177"
"2022-06-30","2022Jun","-0.0255"
"2022-07-31","2022Jul","-0.0181"
"2022-08-31","2022Aug","-0.0139"
"2022-09-30","2022Sep","-0.0189"
"2022-10-31","2022Oct","-0.0289"
"2022-11-30","2022Nov","-0.0402"
"2022-12-31","2022Dec","-0.0423"
"2023-01-31","2023Jan","-0.0262"
